Task Number,Task,Fitness Scores
277,b7f8a4d8.json,"(np.float64(2.0), np.float64(260.0), np.float64(2.0), np.float64(1.0))"
278,b7fb29bc.json,"(np.float64(2.0), np.float64(90.0), np.float64(6.0), np.float64(6.0))"
279,b942fd60.json,"(np.float64(4.0), np.float64(26.0), np.float64(5.0), np.float64(7.0))"
280,b9630600.json,"(np.float64(0.0), np.float64(204.0), np.float64(4.0), np.float64(4.0))"
281,ba9d41b8.json,"(np.float64(3.0), np.float64(116.0), np.float64(8.0), np.float64(10.0))"
282,baf41dbf.json,"(np.float64(1.0), np.float64(75.0), np.float64(9.0), np.float64(10.0))"
283,bb52a14b.json,"(np.float64(2.0), np.float64(90.0), np.float64(1.0), np.float64(0.0))"
284,bbb1b8b6.json,"(np.float64(2.0), np.float64(6.0), np.float64(0.0), np.float64(0.0))"
285,bc4146bd.json,"(np.float64(3.0), np.float64(72.0), np.float64(16.0), np.float64(0.0))"
286,bcb3040b.json,"(np.float64(2.0), np.float64(5.0), np.float64(0.0), np.float64(0.0))"
287,bd14c3bf.json,"(np.float64(1.0), np.float64(84.0), np.float64(2.0), np.float64(0.0))"
288,be03b35f.json,"(np.float64(0.0), np.float64(6.0), np.float64(3.0), np.float64(3.0))"
289,bf32578f.json,"(np.float64(0.0), np.float64(9.0), np.float64(3.0), np.float64(1.0))"
290,bf699163.json,"(np.float64(4.0), np.float64(1.0), np.float64(0.0), np.float64(0.0))"
291,bf89d739.json,"(np.float64(1.0), np.float64(32.0), np.float64(6.0), np.float64(2.0))"
292,c074846d.json,"(np.float64(3.0), np.float64(7.0), np.float64(6.0), np.float64(5.0))"
293,c1990cce.json,"(np.float64(2.0), np.float64(14.0), np.float64(6.0), np.float64(6.0))"
294,c3202e5a.json,"(np.float64(2.0), np.float64(14.0), np.float64(19.0), np.float64(19.0))"
295,c35c1b4c.json,"(np.float64(2.0), np.float64(58.0), np.float64(0.0), np.float64(0.0))"
296,c48954c1.json,"(np.float64(4.0), np.float64(79.0), np.float64(7.0), np.float64(7.0))"
297,c62e2108.json,"(np.float64(2.0), np.float64(92.0), np.float64(0.0), np.float64(0.0))"
298,c64f1187.json,"(np.float64(4.0), np.float64(36.0), np.float64(4.0), np.float64(6.0))"
299,c658a4bd.json,"(np.float64(5.0), np.float64(73.0), np.float64(6.0), np.float64(6.0))"
300,c663677b.json,"(np.float64(4.0), np.float64(401.0), np.float64(0.0), np.float64(0.0))"
301,c6e1b8da.json,"(np.float64(2.0), np.float64(114.0), np.float64(11.0), np.float64(16.0))"
302,c7d4e6ad.json,"(np.float64(3.0), np.float64(20.0), np.float64(9.0), np.float64(7.0))"
303,c87289bb.json,"(np.float64(1.0), np.float64(61.0), np.float64(6.0), np.float64(9.0))"
304,c8b7cc0f.json,"(np.float64(2.0), np.float64(18.0), np.float64(2.0), np.float64(5.0))"
305,c92b942c.json,"(np.float64(3.0), np.float64(64.0), np.float64(14.0), np.float64(14.0))"
306,c97c0139.json,"(np.float64(1.0), np.float64(62.0), np.float64(7.0), np.float64(8.0))"
307,ca8de6ea.json,"(np.float64(5.0), np.float64(11.0), np.float64(2.0), np.float64(2.0))"
308,ca8f78db.json,"(np.float64(7.0), np.float64(403.0), np.float64(0.0), np.float64(0.0))"
309,cad67732.json,"(np.float64(1.0), np.float64(20.0), np.float64(9.0), np.float64(9.0))"
310,cb227835.json,"(np.float64(1.0), np.float64(22.0), np.float64(3.0), np.float64(8.0))"
311,ccd554ac.json,"(np.float64(0.0), np.float64(120.0), np.float64(12.0), np.float64(12.0))"
312,cd3c21df.json,"(np.float64(2.0), np.float64(2.0), np.float64(0.0), np.float64(0.0))"
313,ce039d91.json,"(np.float64(1.0), np.float64(30.0), np.float64(0.0), np.float64(1.0))"
314,ce8d95cc.json,"(np.float64(4.0), np.float64(28.0), np.float64(4.0), np.float64(5.0))"
315,cf133acc.json,"(np.float64(6.0), np.float64(72.0), np.float64(6.0), np.float64(14.0))"
316,cfb2ce5a.json,"(np.float64(6.0), np.float64(64.0), np.float64(8.0), np.float64(6.0))"
317,d017b73f.json,"(np.float64(1.0), np.float64(7.0), np.float64(5.0), np.float64(1.0))"
318,d19f7514.json,"(np.float64(2.0), np.float64(8.0), np.float64(0.0), np.float64(0.0))"
319,d282b262.json,"(np.float64(6.0), np.float64(34.0), np.float64(13.0), np.float64(2.0))"
320,d2acf2cb.json,"(np.float64(3.0), np.float64(32.0), np.float64(4.0), np.float64(0.0))"
321,d304284e.json,"(np.float64(1.0), np.float64(117.0), np.float64(25.0), np.float64(20.0))"
322,d37a1ef5.json,"(np.float64(1.0), np.float64(74.0), np.float64(2.0), np.float64(4.0))"
323,d47aa2ff.json,"(np.float64(4.0), np.float64(16.0), np.float64(10.0), np.float64(8.0))"
324,d492a647.json,"(np.float64(2.0), np.float64(97.0), np.float64(12.0), np.float64(12.0))"
325,d4b1c2b1.json,"(np.float64(2.0), np.float64(32.0), np.float64(3.0), np.float64(3.0))"
326,d4c90558.json,"(np.float64(3.0), np.float64(49.0), np.float64(2.0), np.float64(5.0))"
327,d56f2372.json,"(np.float64(2.0), np.float64(8.0), np.float64(0.0), np.float64(0.0))"
328,d5c634a2.json,"(np.float64(3.0), np.float64(25.0), np.float64(1.0), np.float64(5.0))"
329,d931c21c.json,"(np.float64(2.0), np.float64(138.0), np.float64(2.0), np.float64(3.0))"
330,d94c3b52.json,"(np.float64(2.0), np.float64(181.0), np.float64(2.0), np.float64(2.0))"
331,da2b0fe3.json,"(np.float64(1.0), np.float64(34.0), np.float64(4.0), np.float64(5.0))"
332,da515329.json,"(np.float64(0.0), np.float64(127.0), np.float64(11.0), np.float64(11.0))"
333,dc2aa30b.json,"(np.float64(1.0), np.float64(38.0), np.float64(0.0), np.float64(0.0))"
334,dc2e9a9d.json,"(np.float64(2.0), np.float64(83.0), np.float64(5.0), np.float64(0.0))"
335,dd2401ed.json,"(np.float64(2.0), np.float64(19.0), np.float64(12.0), np.float64(3.0))"
336,de493100.json,"(np.float64(5.0), np.float64(46.0), np.float64(26.0), np.float64(26.0))"
337,df8cc377.json,"(np.float64(3.0), np.float64(25.0), np.float64(17.0), np.float64(9.0))"
338,e0fb7511.json,"(np.float64(1.0), np.float64(18.0), np.float64(0.0), np.float64(0.0))"
339,e133d23d.json,"(np.float64(3.0), np.float64(3.0), np.float64(2.0), np.float64(0.0))"
340,e1baa8a4.json,"(np.float64(9.0), np.float64(37.0), np.float64(5.0), np.float64(8.0))"
341,e1d2900e.json,"(np.float64(1.0), np.float64(14.0), np.float64(9.0), np.float64(4.0))"
342,e2092e0c.json,"(np.float64(8.0), np.float64(101.0), np.float64(4.0), np.float64(5.0))"
343,e21a174a.json,"(np.float64(3.0), np.float64(22.0), np.float64(2.0), np.float64(6.0))"
344,e345f17b.json,"(np.float64(2.0), np.float64(12.0), np.float64(0.0), np.float64(0.0))"
345,e4075551.json,"(np.float64(6.0), np.float64(58.0), np.float64(14.0), np.float64(14.0))"
346,e41c6fd3.json,"(np.float64(4.0), np.float64(68.0), np.float64(26.0), np.float64(12.0))"
347,e57337a4.json,"(np.float64(0.0), np.float64(216.0), np.float64(12.0), np.float64(12.0))"
348,e5790162.json,"(np.float64(3.0), np.float64(14.0), np.float64(7.0), np.float64(8.0))"
349,e5c44e8f.json,"(np.float64(1.0), np.float64(22.0), np.float64(0.0), np.float64(0.0))"
350,e619ca6e.json,"(np.float64(0.0), np.float64(124.0), np.float64(17.0), np.float64(17.0))"
351,e633a9e5.json,"(np.float64(6.0), np.float64(23.0), np.float64(3.0), np.float64(3.0))"
352,e66aafb8.json,"(np.float64(7.0), np.float64(87.0), np.float64(17.0), np.float64(18.0))"
353,e681b708.json,"(np.float64(3.0), np.float64(97.0), np.float64(1.0), np.float64(2.0))"
354,e69241bd.json,"(np.float64(4.0), np.float64(41.0), np.float64(6.0), np.float64(6.0))"
355,e6de6e8f.json,"(np.float64(1.0), np.float64(18.0), np.float64(5.0), np.float64(6.0))"
356,e74e1818.json,"(np.float64(2.0), np.float64(21.0), np.float64(2.0), np.float64(5.0))"
357,e760a62e.json,"(np.float64(2.0), np.float64(369.0), np.float64(7.0), np.float64(25.0))"
358,e7639916.json,"(np.float64(1.0), np.float64(35.0), np.float64(4.0), np.float64(2.0))"
359,e78887d1.json,"(np.float64(3.0), np.float64(20.0), np.float64(12.0), np.float64(4.0))"
360,e7a25a18.json,"(np.float64(5.0), np.float64(16.0), np.float64(0.0), np.float64(0.0))"
361,e7b06bea.json,"(np.float64(4.0), np.float64(27.0), np.float64(5.0), np.float64(0.0))"
362,e7dd8335.json,"(np.float64(1.0), np.float64(24.0), np.float64(4.0), np.float64(1.0))"
363,e872b94a.json,"(np.float64(1.0), np.float64(38.0), np.float64(11.0), np.float64(4.0))"
364,e88171ec.json,"(np.float64(1.0), np.float64(8.0), np.float64(0.0), np.float64(0.0))"
365,e95e3d8e.json,"(np.float64(7.0), np.float64(432.0), np.float64(0.0), np.float64(0.0))"
366,e99362f0.json,"(np.float64(4.0), np.float64(9.0), np.float64(0.0), np.float64(0.0))"
367,e9ac8c9e.json,"(np.float64(6.0), np.float64(22.0), np.float64(4.0), np.float64(4.0))"
368,e9b4f6fc.json,"(np.float64(3.0), np.float64(7.0), np.float64(0.0), np.float64(0.0))"
369,e9bb6954.json,"(np.float64(8.0), np.float64(120.0), np.float64(3.0), np.float64(2.0))"
370,e9c9d9a1.json,"(np.float64(5.0), np.float64(88.0), np.float64(0.0), np.float64(0.0))"
371,ea959feb.json,"(np.float64(8.0), np.float64(440.0), np.float64(0.0), np.float64(2.0))"
372,ea9794b1.json,"(np.float64(3.0), np.float64(12.0), np.float64(0.0), np.float64(0.0))"
373,ecaa0ec1.json,"(np.float64(2.0), np.float64(15.0), np.float64(8.0), np.float64(8.0))"
374,ed74f2f2.json,"(np.float64(2.0), np.float64(9.0), np.float64(4.0), np.float64(0.0))"
375,ed98d772.json,"(np.float64(0.0), np.float64(12.0), np.float64(3.0), np.float64(3.0))"
376,ef26cbf6.json,"(np.float64(5.0), np.float64(52.0), np.float64(4.0), np.float64(0.0))"
377,f0afb749.json,"(np.float64(1.0), np.float64(16.0), np.float64(7.0), np.float64(9.0))"
378,f0df5ff0.json,"(np.float64(6.0), np.float64(141.0), np.float64(2.0), np.float64(5.0))"
379,f21745ec.json,"(np.float64(2.0), np.float64(112.0), np.float64(15.0), np.float64(16.0))"
380,f3b10344.json,"(np.float64(2.0), np.float64(210.0), np.float64(3.0), np.float64(7.0))"
381,f3cdc58f.json,"(np.float64(3.0), np.float64(15.0), np.float64(6.0), np.float64(5.0))"
382,f3e62deb.json,"(np.float64(0.0), np.float64(16.0), np.float64(7.0), np.float64(7.0))"
383,f4081712.json,"(np.float64(8.0), np.float64(33.0), np.float64(15.0), np.float64(15.0))"
384,f45f5ca7.json,"(np.float64(4.0), np.float64(9.0), np.float64(9.0), np.float64(9.0))"
385,f5aa3634.json,"(np.float64(4.0), np.float64(8.0), np.float64(2.0), np.float64(1.0))"
386,f5c89df1.json,"(np.float64(3.0), np.float64(15.0), np.float64(12.0), np.float64(12.0))"
387,f823c43c.json,"(np.float64(4.0), np.float64(121.0), np.float64(0.0), np.float64(0.0))"
388,f83cb3f6.json,"(np.float64(1.0), np.float64(28.0), np.float64(0.0), np.float64(2.0))"
389,f8be4b64.json,"(np.float64(2.0), np.float64(29.0), np.float64(12.0), np.float64(12.0))"
390,f9a67cb5.json,"(np.float64(2.0), np.float64(52.0), np.float64(12.0), np.float64(9.0))"
391,f9d67f8b.json,"(np.float64(8.0), np.float64(808.0), np.float64(0.0), np.float64(0.0))"
392,fafd9572.json,"(np.float64(4.0), np.float64(19.0), np.float64(7.0), np.float64(5.0))"
393,fb791726.json,"(np.float64(1.0), np.float64(34.0), np.float64(13.0), np.float64(11.0))"
394,fc754716.json,"(np.float64(1.0), np.float64(15.0), np.float64(4.0), np.float64(4.0))"
395,fd096ab6.json,"(np.float64(6.0), np.float64(19.0), np.float64(0.0), np.float64(0.0))"
396,fd4b2b02.json,"(np.float64(2.0), np.float64(115.0), np.float64(24.0), np.float64(21.0))"
397,fe9372f3.json,"(np.float64(3.0), np.float64(37.0), np.float64(13.0), np.float64(4.0))"
398,fea12743.json,"(np.float64(2.0), np.float64(64.0), np.float64(2.0), np.float64(2.0))"
399,ff72ca3e.json,"(np.float64(3.0), np.float64(51.0), np.float64(10.0), np.float64(8.0))"
