Task Number,Task,Fitness Score,Program,Primitives
171,7039b2d7.json,"(np.float64(1.0), np.float64(94.0), np.float64(7.0), np.float64(8.0))",union,union
172,705a3229.json,"(np.float64(0.0), np.float64(81.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
173,712bf12e.json,"(np.float64(3.0), np.float64(152.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
174,72207abc.json,"(np.float64(1.0), np.float64(53.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
175,72a961c9.json,"(np.float64(2.0), np.float64(71.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
176,73182012.json,"(np.float64(0.0), np.float64(60.0), np.float64(8.0), np.float64(8.0))",union,union
177,73c3b0d8.json,"(np.float64(3.0), np.float64(16.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
178,73ccf9c2.json,"(np.float64(0.0), np.float64(339.0), np.float64(13.0), np.float64(15.0))",negative_lifted,negative_lifted
179,759f3fd3.json,"(np.float64(1.0), np.float64(63.0), np.float64(0.0), np.float64(8.0))",splitH_lifted >> splitH_lifted >> union,"splitH_lifted, union"
180,762cd429.json,"(np.float64(0.0), np.float64(340.0), np.float64(28.0), np.float64(8.0))",splitH_lifted >> union >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted, union"
181,770cc55f.json,"(np.float64(4.0), np.float64(68.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
182,782b5218.json,"(np.float64(1.0), np.float64(82.0), np.float64(0.0), np.float64(5.0))",groupByColor_lifted >> splitH_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted, splitH_lifted"
183,79369cc6.json,"(np.float64(3.0), np.float64(287.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
184,7953d61e.json,"(np.float64(5.0), np.float64(64.0), np.float64(4.0), np.float64(7.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
185,79fb03f4.json,"(np.float64(1.0), np.float64(35.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
186,7bb29440.json,"(np.float64(1.0), np.float64(295.0), np.float64(10.0), np.float64(15.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
187,7c8af763.json,"(np.float64(4.0), np.float64(100.0), np.float64(0.0), np.float64(5.0))",groupByColor_lifted >> splitH_lifted >> intersect,"groupByColor_lifted, intersect, splitH_lifted"
188,7c9b52a0.json,"(np.float64(1.0), np.float64(250.0), np.float64(11.0), np.float64(12.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
189,7d18a6fb.json,"(np.float64(3.0), np.float64(61.0), np.float64(9.0), np.float64(11.0))",cropToContent_lifted,cropToContent_lifted
190,7d1f7ee8.json,"(np.float64(2.0), np.float64(216.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
191,7d419a02.json,"(np.float64(4.0), np.float64(352.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
192,7e02026e.json,"(np.float64(1.0), np.float64(118.0), np.float64(0.0), np.float64(6.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
193,7ee1c6ea.json,"(np.float64(4.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
194,817e6c09.json,"(np.float64(1.0), np.float64(35.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
195,81c0276b.json,"(np.float64(1.0), np.float64(142.0), np.float64(14.0), np.float64(13.0))",intersect,intersect
196,833dafe3.json,"(np.float64(4.0), np.float64(39.0), np.float64(4.0), np.float64(7.0))",splitH_lifted >> splitH_lifted >> intersect,"intersect, splitH_lifted"
197,845d6e51.json,"(np.float64(4.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
198,84db8fc4.json,"(np.float64(5.0), np.float64(100.0), np.float64(0.0), np.float64(5.0))",groupByColor_lifted >> splitH_lifted >> intersect,"groupByColor_lifted, intersect, splitH_lifted"
199,84f2aca1.json,"(np.float64(6.0), np.float64(184.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
200,8597cfd7.json,"(np.float64(3.0), np.float64(10.0), np.float64(7.0), np.float64(0.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
201,85b81ff1.json,"(np.float64(0.0), np.float64(166.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
202,85fa5666.json,"(np.float64(6.0), np.float64(61.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
203,8719f442.json,"(np.float64(3.0), np.float64(42.0), np.float64(12.0), np.float64(14.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
204,88207623.json,"(np.float64(5.0), np.float64(233.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
205,891232d6.json,"(np.float64(7.0), np.float64(157.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
206,896d5239.json,"(np.float64(2.0), np.float64(235.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
207,8a371977.json,"(np.float64(3.0), np.float64(586.0), np.float64(0.0), np.float64(22.0))",splitH_lifted >> splitH_lifted >> splitH_lifted,splitH_lifted
208,8b28cd80.json,"(np.float64(3.0), np.float64(44.0), np.float64(6.0), np.float64(8.0))",splitH_lifted >> negative_lifted >> sortByColor,"negative_lifted, sortByColor, splitH_lifted"
209,8ba14f53.json,"(np.float64(4.0), np.float64(31.0), np.float64(6.0), np.float64(1.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
210,8cb8642d.json,"(np.float64(3.0), np.float64(250.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
211,8dae5dfc.json,"(np.float64(4.0), np.float64(323.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
212,8e2edd66.json,"(np.float64(3.0), np.float64(12.0), np.float64(6.0), np.float64(8.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
213,8ee62060.json,"(np.float64(2.0), np.float64(85.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
214,8fbca751.json,"(np.float64(1.0), np.float64(41.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
215,90347967.json,"(np.float64(5.0), np.float64(75.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
216,903d1b4a.json,"(np.float64(7.0), np.float64(256.0), np.float64(0.0), np.float64(12.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
217,9110e3c5.json,"(np.float64(6.0), np.float64(17.0), np.float64(4.0), np.float64(0.0))",splitH_lifted >> union,"splitH_lifted, union"
218,917bccba.json,"(np.float64(1.0), np.float64(130.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
219,929ab4e9.json,"(np.float64(9.0), np.float64(576.0), np.float64(0.0), np.float64(18.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
220,92e50de0.json,"(np.float64(3.0), np.float64(579.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
221,9356391f.json,"(np.float64(6.0), np.float64(179.0), np.float64(0.0), np.float64(8.0))",negative_lifted >> splitH_lifted >> intersect,"intersect, negative_lifted, splitH_lifted"
222,93b4f4b3.json,"(np.float64(4.0), np.float64(136.0), np.float64(6.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
223,93c31fbe.json,"(np.float64(1.0), np.float64(401.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
224,94133066.json,"(np.float64(5.0), np.float64(238.0), np.float64(15.0), np.float64(1.0))",splitH_lifted >> union >> negative_lifted,"negative_lifted, splitH_lifted, union"
225,94414823.json,"(np.float64(4.0), np.float64(84.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
226,94be5b80.json,"(np.float64(3.0), np.float64(220.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
227,95a58926.json,"(np.float64(1.0), np.float64(488.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
228,963f59bc.json,"(np.float64(2.0), np.float64(172.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
229,96a8c0cd.json,"(np.float64(2.0), np.float64(219.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
230,97239e3d.json,"(np.float64(4.0), np.float64(241.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
231,9772c176.json,"(np.float64(1.0), np.float64(423.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
232,981571dc.json,"(np.float64(9.0), np.float64(894.0), np.float64(0.0), np.float64(23.0))",splitH_lifted >> groupByColor_lifted >> splitH_lifted,"groupByColor_lifted, splitH_lifted"
233,992798f6.json,"(np.float64(2.0), np.float64(245.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
234,99306f82.json,"(np.float64(4.0), np.float64(159.0), np.float64(0.0), np.float64(8.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
235,9a4bb226.json,"(np.float64(2.0), np.float64(216.0), np.float64(12.0), np.float64(12.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
236,9b2a60aa.json,"(np.float64(4.0), np.float64(301.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
237,9b365c51.json,"(np.float64(5.0), np.float64(126.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> reverse >> negative_lifted,"groupByColor_lifted, negative_lifted, reverse"
238,9b4c17c4.json,"(np.float64(4.0), np.float64(132.0), np.float64(0.0), np.float64(9.0))",groupByColor_lifted >> splitH_lifted >> splitH_lifted,"groupByColor_lifted, splitH_lifted"
239,9bebae7a.json,"(np.float64(0.0), np.float64(132.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
240,9c1e755f.json,"(np.float64(3.0), np.float64(73.0), np.float64(0.0), np.float64(8.0))",splitH_lifted >> splitH_lifted >> reverse,"reverse, splitH_lifted"
241,9c56f360.json,"(np.float64(1.0), np.float64(63.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
242,9caba7c3.json,"(np.float64(5.0), np.float64(361.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
243,9ddd00f0.json,"(np.float64(3.0), np.float64(13.0), np.float64(0.0), np.float64(4.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
244,9def23fe.json,"(np.float64(3.0), np.float64(239.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
245,9f27f097.json,"(np.float64(4.0), np.float64(144.0), np.float64(0.0), np.float64(9.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
246,a04b2602.json,"(np.float64(2.0), np.float64(162.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
247,a096bf4d.json,"(np.float64(5.0), np.float64(256.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
248,a3f84088.json,"(np.float64(1.0), np.float64(258.0), np.float64(2.0), np.float64(16.0))",splitH_lifted >> splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted"
249,a406ac07.json,"(np.float64(5.0), np.float64(80.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
250,a57f2f04.json,"(np.float64(2.0), np.float64(441.0), np.float64(0.0), np.float64(18.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
251,a59b95c0.json,"(np.float64(4.0), np.float64(81.0), np.float64(6.0), np.float64(8.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
252,a680ac02.json,"(np.float64(2.0), np.float64(480.0), np.float64(10.0), np.float64(20.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
253,a8610ef7.json,"(np.float64(3.0), np.float64(36.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
254,a934301b.json,"(np.float64(2.0), np.float64(159.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
255,aa18de87.json,"(np.float64(1.0), np.float64(31.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
256,aa300dc3.json,"(np.float64(1.0), np.float64(94.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
257,aa4ec2a5.json,"(np.float64(6.0), np.float64(300.0), np.float64(0.0), np.float64(15.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
258,aab50785.json,"(np.float64(5.0), np.float64(150.0), np.float64(12.0), np.float64(7.0))",groupByColor_lifted >> cropToContent_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
259,ac0c5833.json,"(np.float64(3.0), np.float64(607.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
260,ac2e8ecf.json,"(np.float64(5.0), np.float64(217.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
261,ac3e2b04.json,"(np.float64(2.0), np.float64(186.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
262,ac605cbb.json,"(np.float64(1.0), np.float64(75.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
263,ad7e01d0.json,"(np.float64(3.0), np.float64(192.0), np.float64(12.0), np.float64(15.0))",groupByColor_lifted >> splitH_lifted >> splitH_lifted,"groupByColor_lifted, splitH_lifted"
264,ae58858e.json,"(np.float64(1.0), np.float64(90.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
265,aee291af.json,"(np.float64(1.0), np.float64(299.0), np.float64(13.0), np.float64(13.0))",intersect,intersect
266,af22c60d.json,"(np.float64(6.0), np.float64(900.0), np.float64(0.0), np.float64(23.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
267,af24b4cc.json,"(np.float64(4.0), np.float64(45.0), np.float64(3.0), np.float64(3.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
268,b0722778.json,"(np.float64(8.0), np.float64(60.0), np.float64(7.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
269,b0f4d537.json,"(np.float64(5.0), np.float64(72.0), np.float64(6.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
270,b15fca0b.json,"(np.float64(2.0), np.float64(75.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
271,b1fc8b8e.json,"(np.float64(0.0), np.float64(20.0), np.float64(1.0), np.float64(1.0))",negative_lifted,negative_lifted
272,b20f7c8b.json,"(np.float64(5.0), np.float64(396.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
273,b457fec5.json,"(np.float64(4.0), np.float64(252.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
274,b4a43f3b.json,"(np.float64(3.0), np.float64(104.0), np.float64(12.0), np.float64(5.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
275,b7999b51.json,"(np.float64(0.0), np.float64(41.0), np.float64(12.0), np.float64(6.0))",init,init
276,b7cb93ac.json,"(np.float64(1.0), np.float64(18.0), np.float64(7.0), np.float64(7.0))",init,init
277,b7f8a4d8.json,"(np.float64(2.0), np.float64(724.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
278,b7fb29bc.json,"(np.float64(2.0), np.float64(177.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
279,b942fd60.json,"(np.float64(4.0), np.float64(25.0), np.float64(0.0), np.float64(6.0))",splitH_lifted >> splitH_lifted >> intersect,"intersect, splitH_lifted"
280,b9630600.json,"(np.float64(0.0), np.float64(856.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
281,ba9d41b8.json,"(np.float64(4.0), np.float64(236.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
282,baf41dbf.json,"(np.float64(3.0), np.float64(177.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
283,bb52a14b.json,"(np.float64(2.0), np.float64(472.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
284,bbb1b8b6.json,"(np.float64(2.0), np.float64(30.0), np.float64(5.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
285,bc4146bd.json,"(np.float64(4.0), np.float64(80.0), np.float64(16.0), np.float64(3.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
286,bcb3040b.json,"(np.float64(2.0), np.float64(97.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
287,bd14c3bf.json,"(np.float64(1.0), np.float64(324.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
288,be03b35f.json,"(np.float64(0.0), np.float64(19.0), np.float64(3.0), np.float64(3.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
289,bf32578f.json,"(np.float64(3.0), np.float64(22.0), np.float64(0.0), np.float64(3.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
290,bf699163.json,"(np.float64(3.0), np.float64(297.0), np.float64(15.0), np.float64(14.0))",negative_lifted >> negative_lifted >> sortByWeight,"negative_lifted, sortByWeight"
291,bf89d739.json,"(np.float64(1.0), np.float64(190.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
292,c074846d.json,"(np.float64(4.0), np.float64(47.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
293,c1990cce.json,"(np.float64(2.0), np.float64(14.0), np.float64(6.0), np.float64(6.0))",cropToContent_lifted,cropToContent_lifted
294,c3202e5a.json,"(np.float64(2.0), np.float64(523.0), np.float64(20.0), np.float64(20.0))",groupByColor_lifted >> sortByWeight >> negative_lifted,"groupByColor_lifted, negative_lifted, sortByWeight"
295,c35c1b4c.json,"(np.float64(2.0), np.float64(97.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
296,c48954c1.json,"(np.float64(5.0), np.float64(81.0), np.float64(6.0), np.float64(8.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
297,c62e2108.json,"(np.float64(2.0), np.float64(416.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
298,c64f1187.json,"(np.float64(4.0), np.float64(156.0), np.float64(0.0), np.float64(6.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
299,c658a4bd.json,"(np.float64(1.0), np.float64(97.0), np.float64(7.0), np.float64(7.0))",sortByWeight,sortByWeight
300,c663677b.json,"(np.float64(5.0), np.float64(729.0), np.float64(0.0), np.float64(21.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
301,c6e1b8da.json,"(np.float64(2.0), np.float64(376.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
302,c7d4e6ad.json,"(np.float64(4.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
303,c87289bb.json,"(np.float64(1.0), np.float64(86.0), np.float64(0.0), np.float64(6.0))",splitH_lifted >> cropToContent_lifted >> negative_lifted,"cropToContent_lifted, negative_lifted, splitH_lifted"
304,c8b7cc0f.json,"(np.float64(0.0), np.float64(70.0), np.float64(6.0), np.float64(6.0))",groupByColor_lifted >> reverse >> negative_lifted,"groupByColor_lifted, negative_lifted, reverse"
305,c92b942c.json,"(np.float64(2.0), np.float64(75.0), np.float64(10.0), np.float64(10.0))",negative_lifted,negative_lifted
306,c97c0139.json,"(np.float64(1.0), np.float64(359.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
307,ca8de6ea.json,"(np.float64(5.0), np.float64(17.0), np.float64(2.0), np.float64(2.0))",groupByColor_lifted >> sortByWeight >> negative_lifted,"groupByColor_lifted, negative_lifted, sortByWeight"
308,ca8f78db.json,"(np.float64(8.0), np.float64(900.0), np.float64(0.0), np.float64(15.0))",groupByColor_lifted >> intersect >> splitH_lifted,"groupByColor_lifted, intersect, splitH_lifted"
309,cad67732.json,"(np.float64(2.0), np.float64(80.0), np.float64(8.0), np.float64(8.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
310,cb227835.json,"(np.float64(1.0), np.float64(136.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
311,ccd554ac.json,"(np.float64(0.0), np.float64(136.0), np.float64(12.0), np.float64(12.0))",negative_lifted,negative_lifted
312,cd3c21df.json,"(np.float64(1.0), np.float64(163.0), np.float64(10.0), np.float64(11.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
313,ce039d91.json,"(np.float64(1.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
314,ce8d95cc.json,"(np.float64(5.0), np.float64(109.0), np.float64(6.0), np.float64(5.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
315,cf133acc.json,"(np.float64(6.0), np.float64(197.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
316,cfb2ce5a.json,"(np.float64(6.0), np.float64(72.0), np.float64(0.0), np.float64(8.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
317,d017b73f.json,"(np.float64(1.0), np.float64(26.0), np.float64(3.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
318,d19f7514.json,"(np.float64(2.0), np.float64(40.0), np.float64(0.0), np.float64(6.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
319,d282b262.json,"(np.float64(9.0), np.float64(195.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
320,d2acf2cb.json,"(np.float64(5.0), np.float64(49.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
321,d304284e.json,"(np.float64(1.0), np.float64(543.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
322,d37a1ef5.json,"(np.float64(3.0), np.float64(108.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
323,d47aa2ff.json,"(np.float64(8.0), np.float64(200.0), np.float64(11.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
324,d492a647.json,"(np.float64(1.0), np.float64(143.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
325,d4b1c2b1.json,"(np.float64(3.0), np.float64(36.0), np.float64(3.0), np.float64(5.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
326,d4c90558.json,"(np.float64(3.0), np.float64(169.0), np.float64(14.0), np.float64(6.0))",negative_lifted >> splitH_lifted >> union,"negative_lifted, splitH_lifted, union"
327,d56f2372.json,"(np.float64(2.0), np.float64(267.0), np.float64(10.0), np.float64(16.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
328,d5c634a2.json,"(np.float64(3.0), np.float64(31.0), np.float64(1.0), np.float64(5.0))",negative_lifted,negative_lifted
329,d931c21c.json,"(np.float64(2.0), np.float64(346.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
330,d94c3b52.json,"(np.float64(2.0), np.float64(425.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
331,da2b0fe3.json,"(np.float64(1.0), np.float64(90.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
332,da515329.json,"(np.float64(0.0), np.float64(128.0), np.float64(11.0), np.float64(15.0))",splitH_lifted >> cropToContent_lifted >> splitH_lifted,"cropToContent_lifted, splitH_lifted"
333,dc2aa30b.json,"(np.float64(1.0), np.float64(121.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
334,dc2e9a9d.json,"(np.float64(2.0), np.float64(423.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
335,dd2401ed.json,"(np.float64(2.0), np.float64(96.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
336,de493100.json,"(np.float64(6.0), np.float64(884.0), np.float64(26.0), np.float64(26.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
337,df8cc377.json,"(np.float64(3.0), np.float64(234.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
338,e0fb7511.json,"(np.float64(1.0), np.float64(155.0), np.float64(0.0), np.float64(10.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
339,e133d23d.json,"(np.float64(5.0), np.float64(17.0), np.float64(4.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
340,e1baa8a4.json,"(np.float64(8.0), np.float64(213.0), np.float64(11.0), np.float64(12.0))",negative_lifted >> negative_lifted,negative_lifted
